 Multiple Comparison of Means - Tukey HSD, FWER=0.05  
======================================================
group1 group2 meandiff p-adj   lower    upper   reject
------------------------------------------------------
     1      2   3.9191    1.0 -24.1061  31.9443  False
     1      4   9.0742  0.984 -19.3724  37.5208  False
     1      8   14.131 0.8294 -14.7858  43.0479  False
     1     16  18.2871 0.5686 -11.1579  47.7321  False
     1     32  17.3301 0.6387 -12.1149  46.7752  False
     1     64   18.077 0.6105 -11.9659    48.12  False
     1    128  21.0751 0.7915 -20.1479  62.2982  False
     1    256 103.5585 0.0043  20.6231  186.494   True
     2      4   5.1551 0.9997 -22.8701  33.1803  False
     2      8  10.2119 0.9673 -18.2904  38.7143  False
     2     16   14.368 0.8195 -14.6701  43.4061  False
     2     32   13.411 0.8694  -15.627  42.4491  False
     2     64  14.1579 0.8466 -15.4863  43.8022  False
     2    128   17.156 0.9204 -23.7774  58.0894  False
     2    256  99.6394  0.007  16.8476 182.4312   True
     4      8   5.0568 0.9998   -23.86  33.9737  False
     4     16   9.2129 0.9859 -20.2322  38.6579  False
     4     32   8.2559 0.9931 -21.1891   37.701  False
     4     64   9.0028 0.9893 -21.0401  39.0458  False
     4    128  12.0009 0.9912 -29.2221   53.224  False
     4    256  94.4843 0.0135  11.5489 177.4198   True
     8     16   4.1561    1.0 -25.7435  34.0556  False
     8     32   3.1991    1.0 -26.7004  33.0987  False
     8     64    3.946    1.0 -26.5426  34.4346  False
     8    128   6.9441 0.9998 -34.6048   48.493  False
     8    256  89.4275  0.025   6.3296 172.5254   True
    16     32  -0.9569    1.0 -31.3677  29.4538  False
    16     64    -0.21    1.0 -31.2001    30.78  False
    16    128    2.788    1.0 -39.1302  44.7063  False
    16    256  85.2714 0.0405   1.9883 168.5546   True
    32     64   0.7469    1.0 -30.2431  31.7369  False
    32    128    3.745    1.0 -38.1733  45.6632  False
    32    256  86.2284 0.0365   2.9452 169.5116   True
    64    128   2.9981    1.0 -39.3423  45.3385  False
    64    256  85.4815 0.0405   1.9851 168.9779   True
   128    256  82.4834 0.0856  -5.6552  170.622  False
------------------------------------------------------
