  Multiple Comparison of Means - Tukey HSD, FWER=0.05  
=======================================================
group1 group2 meandiff p-adj    lower    upper   reject
-------------------------------------------------------
     1      2  34.7487  0.998  -89.7723 159.2698  False
     1      4   85.968 0.4725   -38.553 210.4891  False
     1      8 136.1487 0.0196   11.6276 260.6698   True
     1     16 182.7982 0.0002   58.2771 307.3193   True
     1     32 214.1235    0.0   89.6025 338.6446   True
     1     64  233.601    0.0  109.0799  358.122   True
     1    128 242.3878    0.0  117.8667 366.9089   True
     1    256 255.2692    0.0  128.9302 381.6083   True
     1    512 254.1748    0.0  127.8358 380.5138   True
     1   1028 251.8951    0.0  125.5561 378.2341   True
     2      4  51.2193 0.9603  -73.3018 175.7404  False
     2      8 101.3999 0.2293  -23.1212  225.921  False
     2     16 148.0495 0.0067   23.5284 272.5706   True
     2     32 179.3748 0.0003   54.8537 303.8959   True
     2     64 198.8522    0.0   74.3311 323.3733   True
     2    128 207.6391    0.0    83.118 332.1602   True
     2    256 220.5205    0.0   94.1815 346.8595   True
     2    512 219.4261    0.0   93.0871 345.7651   True
     2   1028 217.1464    0.0   90.8074 343.4854   True
     4      8  50.1806 0.9654  -74.3405 174.7017  False
     4     16  96.8302 0.2916  -27.6909 221.3513  False
     4     32 128.1555 0.0377    3.6344 252.6766   True
     4     64 147.6329  0.007   23.1118  272.154   True
     4    128 156.4198  0.003   31.8987 280.9409   True
     4    256 169.3012  0.001   42.9622 295.6402   True
     4    512 168.2068 0.0012   41.8677 294.5458   True
     4   1028 165.9271 0.0015   39.5881 292.2661   True
     8     16  46.6496 0.9794  -77.8715 171.1706  False
     8     32  77.9749 0.6204  -46.5462  202.496  False
     8     64  97.4523 0.2826  -27.0688 221.9734  False
     8    128 106.2391 0.1738  -18.2819 230.7602  False
     8    256 119.1206 0.0841   -7.2184 245.4596  False
     8    512 118.0261 0.0907   -8.3129 244.3651  False
     8   1028 115.7464 0.1057  -10.5926 242.0855  False
    16     32  31.3253 0.9992  -93.1958 155.8464  False
    16     64  50.8027 0.9624  -73.7184 175.3238  False
    16    128  59.5896 0.8967  -64.9315 184.1107  False
    16    256   72.471  0.736   -53.868   198.81  False
    16    512  71.3766 0.7536  -54.9624 197.7156  False
    16   1028  69.0969 0.7888  -57.2421 195.4359  False
    32     64  19.4774    1.0 -105.0437 143.9985  False
    32    128  28.2643 0.9997  -96.2568 152.7854  False
    32    256  41.1457 0.9928  -85.1933 167.4847  False
    32    512  40.0513 0.9942  -86.2878 166.3903  False
    32   1028  37.7716 0.9964  -88.5674 164.1106  False
    64    128   8.7869    1.0 -115.7342  133.308  False
    64    256  21.6683    1.0 -104.6707 148.0073  False
    64    512  20.5738    1.0 -105.7652 146.9129  False
    64   1028  18.2942    1.0 -108.0448 144.6332  False
   128    256  12.8814    1.0 -113.4576 139.2204  False
   128    512   11.787    1.0  -114.552  138.126  False
   128   1028   9.5073    1.0 -116.8317 135.8463  False
   256    512  -1.0944    1.0 -129.2256 127.0367  False
   256   1028  -3.3741    1.0 -131.5053  124.757  False
   512   1028  -2.2797    1.0 -130.4108 125.8515  False
-------------------------------------------------------
